id;imdb_id;title;original_title;release_date;runtime;original_language;popularity;homepage;budget;revenue;status;tagline;overview
2503;tt0440963;The Bourne Ultimatum;The Bourne Ultimatum;2007-08-03;115;en;8.91;http://www.universalstudiosentertainment.com/the-bourne-ultimatum/;70000000;442824138;Released;Remember everything. Forgive nothing.;Bourne is brought out of hiding once again by reporter Simon Ross who is trying to unveil Operation Blackbriar, an upgrade to Project Treadstone, in a series of newspaper columns. Information from the reporter stirs a new set of memories, and Bourne must finally uncover his dark past while dodging The Company's best efforts to eradicate him.
218;tt0088247;The Terminator;The Terminator;1984-10-26;108;en;6.63;http://www.mgm.com/#/our-titles/1970/The-Terminator/;6400000;78371200;Released;Your future is in his hands.;"In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?"
155;tt0468569;The Dark Knight;The Dark Knight;2008-07-16;152;en;5.03;http://thedarkknight.warnerbros.com/dvdsite/;185000000;1004558444;Released;Why So Serious?;Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.
422;tt0056801;8½;8½;1963-02-14;138;it;5.01;unknown;0;0;Released;A picture that goes beyond what men think about - because no man ever thought about it in quite this way!;With 8 ½ Frederico Fellini leaves a self-portrait where dreams and reality are a mix. With help from a most excellent cast and unique scenery this self reflecting film is one of his master works.
630;tt0032138;The Wizard of Oz;The Wizard of Oz;1939-08-15;102;en;6.15;http://thewizardofoz.warnerbros.com/;2777000;33754967;Released;We're off to see the Wizard, the wonderful Wizard of Oz!;Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.
3175;tt0072684;Barry Lyndon;Barry Lyndon;1975-12-18;184;en;4.69;unknown;11000000;20000000;Released;At long last Redmond Barry became a gentleman - and that was his tragedy.;In the Eighteenth Century, in a small village in Ireland, Redmond Barry is a young farm boy in love with his cousin Nora Brady. When Nora engages to the British Captain John Quin, Barry challenges him for a duel of pistols. He wins and escapes to Dublin, but is robbed on the road. Without any other alternative, Barry joins the British Army to fight in the Seven Years War.
137;tt0107048;Groundhog Day;Groundhog Day;1993-02-11;101;en;5.11;unknown;14600000;70906973;Released;He's having the worst day of his life... over, and over...;A narcissistic TV weatherman, along with his attractive-but-distant producer and mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.
406;tt0113247;La Haine;La Haine;1995-05-31;98;fr;7.39;unknown;3000000;0;Released;Three Young Friends... One Last Chance.;Aimlessly whiling away their days in the concrete environs of their dead-end suburbia, Vinz, Hubert, and Said -- a Jew, African, and an Arab -- give human faces to France's immigrant populations, their bristling resentment at their social marginalization slowly simmering until it reaches a climactic boiling point. La Haine means Hate.
63;tt0114746;Twelve Monkeys;Twelve Monkeys;1995-12-29;129;en;5.58;unknown;29500000;168840000;Released;The future is history.;In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.
578;tt0073195;Jaws;Jaws;1975-06-18;124;en;5.16;http://www.jaws25.com/;7000000;470654000;Released;Don't go in the water.;An insatiable great white shark terrorizes the townspeople of Amity Island, The police chief, an oceanographer and a grizzled shark hunter seek to destroy the bloodthirsty beast.
10775;tt0338564;Infernal Affairs;???;2002-12-12;101;cn;5.41;unknown;0;8708932;Released;Loyalty. Honor. Betrayal.;Chan Wing Yan, a young police officer, has been sent undercover as a mole in the local mafia. Lau Kin Ming, a young mafia member, infiltrates the police force. Years later, their older counterparts, Chen Wing Yan and Inspector Lau Kin Ming, respectively, race against time to expose the mole within their midst.
887;tt0036868;The Best Years of Our Lives;The Best Years of Our Lives;1946-12-25;172;en;7.74;unknown;2100000;23650000;Released;Three wonderful loves in the best picture of the year!;It's the hope that sustains the spirit of every GI: the dream of the day when he will finally return home. For three WWII veterans, the day has arrived. But for each man, the dream is about to become a nightmare. Captain Fred Derry is returning to a loveless marriage, Sergeant Al Stephenson is a stranger to a family that's grown up without him, and young sailor Homer Parrish is tormented by the loss of his hands. Can these three men find the courage to rebuild their world? Or are the best years of their lives a thing of the past?
117691;tt1954470;Gangs of Wasseypur;Gangs of Wasseypur;2012-06-22;161;hi;4.71;unknown;1400000;4100000;Released;A son seeks vengeance when his father is killed by a coal mine owner.;Shahid Khan is exiled after impersonating the legendary Sultana Daku in order to rob British trains. Now outcast, Shahid becomes a worker at Ramadhir Singh's colliery, only to spur a revenge battle that passes on to generations. At the turn of the decade, Shahid's son, the philandering Sardar Khan vows to get his father's honor back, becoming the most feared man of Wasseypur.
389;tt0050083;12 Angry Men;12 Angry Men;1957-03-25;96;en;9.31;unknown;340000;1000000;Released;Life is in their hands. Death is on their minds.;The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.
50014;tt1454029;The Help;The Help;2011-08-09;146;en;6.60;http://thehelpmovie.com/#/splash;25000000;124272124;Released;Change begins with a whisper.;"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son, Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs, and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help"", yet they are always kept at a certain distance because of racial lines."
10020;tt0101414;Beauty and the Beast;Beauty and the Beast;1991-11-13;84;en;8.61;http://disney.go.com/disneyvideos/animatedfilms/beauty/?cmp=dcom_VAN_WDSHE_BEA_van_batb__Extl;25000000;377350553;Released;The most beautiful love story ever told.;Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.
968;tt0072890;Dog Day Afternoon;Dog Day Afternoon;1975-08-11;125;en;9.09;unknown;1800000;46665856;Released;The most bizarre bank siege ever;A man robs a bank to pay for his lover's operation, it turns into a hostage situation and a media circus.
17295;tt0058946;The Battle of Algiers;La battaglia di Algeri;1966-09-08;121;it;6.59;unknown;800000;921548;Released;The Revolt that Stirred the World!;Tracing the struggle of the Algerian Front de Liberation Nationale to gain freedom from French colonial rule as seen through the eyes of Ali from his start as a petty thief to his rise to prominence in the organisation and capture by the French in 1957. The film traces the rebels' struggle and the increasingly extreme measures taken by the French government to quell the revolt.
843;tt0118694;In the Mood for Love;????;2000-05-22;98;cn;4.71;http://www.wkw-inthemoodforlove.com/;0;12854953;Released;unknown;A melancholy story about the love between a woman and a man who live in the same building and one day find out that their husband and wife had an affair with each other. More and more the two meet during their daily lives as they determine that they both don't want to be lonely in their marriage.
22;tt0325980;Pirates of the Caribbean: The Curse of the Black Pearl;Pirates of the Caribbean: The Curse of the Black Pearl;2003-07-09;143;en;4.80;http://disney.go.com/disneyvideos/liveaction/pirates/main_site/main.html;140000000;655011224;Released;Prepare to be blown out of the water.;Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.
10242;tt0056687;What Ever Happened to Baby Jane?;What Ever Happened to Baby Jane?;1962-10-31;135;en;9.12;unknown;980000;0;Released;Sister Sister, Oh So Fair! Why Is There Blood All Over Your Hair?;Two aging film actresses live as virtual recluses in an old Hollywood mansion. Jane Hudson, a successful child star, cares for her crippled sister Blanche, whose career in later years eclipsed that of Jane. Now the two live together, their relationship affected by simmering subconscious thoughts of mutual envy, hate and revenge.
655;tt0087884;Paris, Texas;Paris, Texas;1984-05-19;147;en;5.51;unknown;1746964;2181987;Released;A place for dreams. A place for heartbreak. A place to pick up the pieces.;A man wanders out of the desert not knowing who he is. His brother finds him, and helps to pull his memory back of the life he led before he walked out on his family and disappeared four years earlier.
352173;tt4430212;Drishyam;Drishyam;2015-07-31;163;hi;8.86;unknown;0;0;Released;unknown;A simple, street-smart man tries to protect his family from a tough cop looking for his missing son.
297222;tt2338151;PK;PK;2014-12-18;153;hi;5.19;unknown;13000000;120000000;Released;Peekay hai hum Peekay;This experimental satire is a comedy of ideas about an alien in the city, who asks questions that no one has asked before. They are innocent, child-like questions, but they bring about catastrophic answers. People who are set in their ways for generations, are forced to reappraise their world when they see it from PK's innocent eyes. In the process PK makes loyal friends and powerful foes, mends broken lives and angers the establishment. PK's childlike curiosity transforms into a spiritual odyssey for him and millions of others. This offbeat, experimental drama is an ambitious and uniquely original exploration of complex philosophies. It is also a simple and humane tale of love, laughter and letting-go. Finally, it is a moving saga about a friendship between strangers from worlds apart.
424;tt0108052;Schindler's List;Schindler's List;1993-11-29;195;en;9.14;http://www.schindlerslist.com/;22000000;321365567;Released;Whoever saves one life, saves the world entire.;The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.
680;tt0110912;Pulp Fiction;Pulp Fiction;1994-10-08;154;en;7.95;unknown;8000000;213928762;Released;Just because you are a character doesn't mean you have character.;A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.
122;tt0167260;The Lord of the Rings: The Return of the King;The Lord of the Rings: The Return of the King;2003-12-01;201;en;9.47;http://www.lordoftherings.net;94000000;1118888979;Released;The eye of the enemy is moving.;Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.
